Breaking Bad S01 × 高中词汇 重叠分析
==================================================
共 429 个高中词汇出现在剧中

排名     单词                   频次       级别
240    certain              3        D级
241    discuss              3        D级
242    truth                3        D级
243    accept               3        D级
244    future               3        D级
245    example              3        D级
246    able                 3        D级
247    list                 3        D级
248    imagine              3        D级
249    cut                  3        D级
250    admit                3        D级
251    prefer               2        D级
252    surprise             2        D级
253    unless               2        D级
254    heavy                2        D级
255    against              2        D级
256    add                  2        D级
257    deep                 2        D级
258    light                2        D级
259    system               2        D级
260    complete             2        D级
261    age                  2        D级
262    basic                2        D级
263    finish               2        D级
264    hour                 2        D级
265    distance             2        D级
266    soon                 2        D级
267    possible             2        D级
268    calm                 2        D级
269    mistake              2        D级
270    knowledge            2        D级
271    therefore            2        D级
272    follow               2        D级
273    waste                2        D级
274    strong               2        D级
275    education            2        D级
276    quite                2        D级
277    number               2        D级
278    doubt                2        D级
279    character            2        D级
280    besides              2        D级
281    black                2        D级
282    block                2        D级
283    charge               2        D级
284    breathe              2        D级
285    write                2        D级
286    moment               2        D级
287    destroy              2        D级
288    culture              2        D级
289    notice               2        D级
290    opinion              2        D级
291    health               2        D级
292    top                  2        D级
293    fear                 2        D级
294    practice             2        D级
295    often                2        D级
296    base                 2        D级
297    force                2        D级
298    information          2        D级
299    prove                2        D级
300    stand                2        D级
301    save                 2        D级
302    miss                 2        D级
303    responsible          2        D级
304    mention              2        D级
305    personal             2        D级
306    pride                2        D级
307    honest               2        D级
308    grow                 2        D级
309    enjoy                2        D级
310    search               2        D级
311    early                1        D级
312    combine              1        D级
313    carry                1        D级
314    local                1        D级
315    actual               1        D级
316    curious              1        D级
317    quiet                1        D级
318    general              1        D级
319    apply                1        D级
320    wonder               1        D级
321    produce              1        D级
322    grateful             1        D级
323    current              1        D级
324    exist                1        D级
325    behave               1        D级
326    prevent              1        D级
327    child                1        D级
328    active               1        D级
329    prepare              1        D级
330    power                1        D级
331    free                 1        D级
332    action               1        D级
333    form                 1        D级
334    secret               1        D级
335    opportunity          1        D级
336    human                1        D级
337    support              1        D级
338    quick                1        D级
339    effect               1        D级
340    per                  1        D级
341    busy                 1        D级
342    focus                1        D级
343    young                1        D级
344    hungry               1        D级
345    tend                 1        D级
346    fact                 1        D级
347    friendly             1        D级
348    accident             1        D级
349    behind               1        D级
350    skill                1        D级
351    fresh                1        D级
352    terrible             1        D级
353    dream                1        D级
354    fall                 1        D级
355    wise                 1        D级
356    expect               1        D级
357    less                 1        D级
358    divide               1        D级
359    talent               1        D级
360    condition            1        D级
361    attend               1        D级
362    award                1        D级
363    article              1        D级
364    community            1        D级
365    advice               1        D级
366    spread               1        D级
367    suggest              1        D级
368    become               1        D级
369    aware                1        D级
370    command              1        D级
371    order                1        D级
372    battle               1        D级
373    necessary            1        D级
374    citizen              1        D级
375    exercise             1        D级
376    data                 1        D级
377    toward               1        D级
378    success              1        D级
379    bless                1        D级
380    begin                1        D级
381    benefit              1        D级
382    hurry                1        D级
383    burn                 1        D级
384    standard             1        D级
385    join                 1        D级
386    agree                1        D级
387    simple               1        D级
388    thankful             1        D级
389    approach             1        D级
390    survive              1        D级
391    involve              1        D级
392    result               1        D级
393    violent              1        D级
394    helpful              1        D级
395    risk                 1        D级
396    lack                 1        D级
397    recognize            1        D级
398    ignore               1        D级
399    large                1        D级
400    book                 1        D级
401    huge                 1        D级
402    apart                1        D级
403    access               1        D级
404    protect              1        D级
405    special              1        D级
406    effort               1        D级
407    fantastic            1        D级
408    country              1        D级
409    address              1        D级
410    extra                1        D级
411    comfort              1        D级
412    manage               1        D级
413    public               1        D级
414    respect              1        D级
415    argue                1        D级
416    capital              1        D级
417    handle               1        D级
418    several              1        D级
419    draw                 1        D级
420    visit                1        D级
421    cost                 1        D级
422    explain              1        D级
423    war                  1        D级
424    likely               1        D级
425    innocent             1        D级
426    guard                1        D级
427    alarm                1        D级
428    afternoon            1        D级
429    apologize            1        D级
